gyarto;modell;gyartas_eve;szin;alvazszam;rendszam;uzemanyag;ajtok_szama;kormany_oldal;forgalomban
Ford;LTD Crown Victoria;1990;Aquamarine;1N6AA0CC7BN533182;TQY-275;elektromos;3;jobb;false
Audi;200;1990;Indigo;KNDJN2A26E7558581;AIS-002;benzin;5;bal;true
Aston Martin;DBS;2010;Violet;WAUSG78E76A979027;OEE-119;dízel;3;jobb;true
Saab;9-3;2003;Goldenrod;WBA3N3C56EF619209;LPL-764;benzin;5;jobb;false
Mitsubishi;Diamante;1993;Yellow;JHMFB4F27CS265252;AIH-212;elektromos;5;jobb;true
GMC;Envoy;2007;Fuscia;1GYS3BEF6CR915549;WBJ-408;elektromos;3;jobb;true
GMC;Suburban 2500;1996;Turquoise;WAUEG98E66A235640;QCZ-085;elektromos;5;jobb;false
Nissan;Sentra;2004;Violet;WAUEH78E06A988078;WPN-740;elektromos;5;jobb;false
Chevrolet;Camaro;1996;Aquamarine;1G4PR5SK8E4823223;YON-320;elektromos;5;jobb;true
Aston Martin;Vantage;2010;Puce;JTDBT4K32B4044222;LXR-350;elektromos;3;bal;false
Chevrolet;Silverado;2006;Crimson;KMHCT4AE3EU833566;TXH-944;benzin;3;bal;true
Cadillac;Escalade;2000;Khaki;WBAVS13548F524075;CIY-169;benzin;5;bal;false
Lexus;SC;1996;Khaki;1GD12ZCG8CF261689;KAZ-359;benzin;5;jobb;false
Land Rover;Discovery;1994;Yellow;ML32A3HJ2FH553444;ILW-478;dízel;3;jobb;true
Chevrolet;Equinox;2007;Indigo;5FNYF3H37FB708385;EEH-252;dízel;5;jobb;true
GMC;Jimmy;1999;Maroon;WAUAF98E46A549126;HBH-511;dízel;5;bal;true
Chevrolet;Tahoe;2009;Mauv;WAUJC68E75A218109;WTA-667;dízel;5;jobb;false
Lotus;Esprit;1991;Turquoise;SCFEFBBC2AG726556;MOT-280;benzin;3;bal;true
Honda;Accord;1991;Maroon;1FADP5AUXDL596420;DJD-363;elektromos;3;jobb;true
Toyota;Prius;2004;Maroon;SAJWA4GB0FL228921;TPU-863;benzin;3;bal;true
Ford;Fusion;2011;Red;1FTEW1E87AF781989;ZPA-467;dízel;5;bal;false
Mercury;Sable;1991;Purple;JN1CV6EL9EM582140;DOD-768;benzin;5;bal;false
Mazda;Navajo;1993;Puce;WBAEN334X3P966971;ZVR-917;dízel;3;bal;true
Ford;Crown Victoria;1997;Purple;WP0CA2A8XFS928373;BFZ-641;elektromos;5;jobb;true
Volvo;C70;2007;Aquamarine;3VW8S7AT6FM834033;BLM-575;benzin;5;bal;false
Lexus;GX;2009;Crimson;WAU3VAFR6CA677107;OPA-712;dízel;3;jobb;true
Bentley;Azure;2009;Khaki;1G6YV36A465618426;DTC-229;benzin;3;jobb;true
Dodge;Grand Caravan;1999;Teal;1GTC5LF94B8512371;UZP-075;dízel;5;bal;true
Subaru;Impreza;2003;Puce;1GD010CG3BF560497;VLJ-253;dízel;5;bal;true
Subaru;Tribeca;2011;Crimson;JHMZE2H56ES482617;VIX-416;elektromos;3;bal;true
Isuzu;Space;1992;Turquoise;1FTEX1CM0BF434535;EAP-985;elektromos;5;bal;true
BMW;3 Series;2012;Goldenrod;JN8AZ1MU0EW976091;JHQ-118;dízel;3;jobb;true
Mercedes-Benz;SLK-Class;2000;Yellow;WDDGF5EB8BR457356;AXG-477;benzin;5;bal;false
Plymouth;Roadrunner;1969;Turquoise;3G5DA03L47S236505;TKW-981;dízel;5;jobb;true
Hyundai;Azera;2009;Turquoise;4T1BF1FK7EU925070;UPB-891;dízel;5;bal;false
Ford;E-Series;2012;Puce;1GYS4UKJ3FR749142;FIR-077;benzin;3;bal;true
Volvo;V70;1999;Violet;WBAKX6C54BC535426;WMN-670;dízel;3;jobb;false
Chrysler;Imperial;1993;Indigo;1B3CB1HA0AD813120;OBV-286;elektromos;5;bal;false
Honda;Element;2011;Red;1FTEW1C80AF742874;BMM-937;elektromos;5;jobb;true
Volvo;850;1997;Indigo;2C3CCADG6EH185650;GEX-374;dízel;5;bal;true
Audi;A8;2001;Orange;WAUDGAFL8EA051653;FQK-635;elektromos;3;bal;false
Mitsubishi;Truck;1995;Turquoise;1C3ADEAZ0DV898826;SUF-924;dízel;5;bal;false
Ford;Explorer;2012;Goldenrod;3GTU2YEJXCG308711;AJS-528;elektromos;3;bal;false
Mitsubishi;Eclipse;2004;Goldenrod;1GYEE437890394877;YYR-646;elektromos;5;bal;true
Porsche;911;1996;Puce;JHMZF1C67DS232714;BNQ-667;dízel;5;bal;false
Audi;A6;2010;Green;1FTSW2A59AE707709;UCM-575;benzin;3;jobb;false
Subaru;Loyale;1990;Fuscia;1C4RDJAG4FC085350;JFV-732;benzin;5;jobb;false
Ford;Falcon;1967;Purple;WBAUP9C52DV425735;LGG-108;dízel;3;bal;false
Honda;S2000;2002;Blue;3VWKP7AJ3CM743027;KTZ-915;benzin;5;jobb;false
Dodge;Dakota Club;2001;Puce;WAU3FAFR6CA547146;CFI-462;benzin;3;bal;true
Ford;Explorer Sport Trac;2006;Aquamarine;1GD22XEG9FZ751082;AMC-541;dízel;3;jobb;false
Mitsubishi;Chariot;1992;Teal;JHMGE8G28AS780596;GPL-124;elektromos;5;bal;false
Land Rover;LR2;2010;Turquoise;3VW4T7AT2EM754173;ZSJ-977;dízel;5;jobb;false
Mazda;Familia;1988;Fuscia;KMHHU6KJ9FU569605;RAF-505;benzin;3;bal;false
Volkswagen;GTI;1996;Turquoise;JN8AS1MU2AM378756;VJO-513;benzin;3;bal;false
Toyota;Tundra;2010;Blue;1FMJU1F51AE851416;WIP-109;benzin;3;bal;false
BMW;Z4;2003;Turquoise;1GTN2TEH5FZ233473;XKX-219;dízel;3;jobb;true
Volkswagen;Corrado;1993;Crimson;WVWBB7AJ7DW267254;VFP-685;benzin;3;jobb;false
Pontiac;Aztek;2004;Blue;JN8AE2KP7D9484041;UTL-381;elektromos;5;bal;true
Mitsubishi;Mirage;1995;Violet;2T1KU4EE2CC925432;HXT-356;benzin;3;bal;true
Volkswagen;Cabriolet;1992;Fuscia;JTHBW1GG1D2195230;BWY-840;dízel;5;jobb;true
BMW;5 Series;2005;Turquoise;5N1BA0ND2FN166755;AVK-708;elektromos;3;bal;false
Mercedes-Benz;M-Class;2006;Pink;1C6RD7JT6CS475889;ELM-421;benzin;5;bal;false
Pontiac;Montana;2003;Indigo;JHMZF1D45CS360137;KZO-782;dízel;3;bal;true
Kia;Forte;2010;Yellow;SCBDR33W97C273488;IMQ-718;benzin;5;jobb;false
Mazda;B-Series Plus;2001;Indigo;WBAYE4C57FD902579;CXN-479;elektromos;3;bal;false
Ford;Econoline E150;1994;Turquoise;KNAGM4AD8D5284883;PYL-208;benzin;3;jobb;false
Ford;E350;2010;Indigo;WBALZ3C55CD296333;MMZ-180;elektromos;5;jobb;true
Chevrolet;Suburban 1500;1998;Orange;1G6DJ1ED3B0256123;ZUR-044;elektromos;3;jobb;false
Chrysler;Sebring;2003;Maroon;WBA3C3G50EN797428;KLC-622;benzin;5;jobb;true
Jeep;Liberty;2008;Pink;5GADX23L55D390870;YZM-507;benzin;3;jobb;false
Dodge;Intrepid;1995;Aquamarine;1FMJU1J57AE443610;YCG-328;benzin;3;bal;false
Jaguar;XF;2010;Yellow;JHMZE2H35CS227226;OSB-820;elektromos;5;bal;false
Cadillac;Seville;2000;Green;1G6AB5RA4F0571526;PXP-912;benzin;5;bal;true
Volkswagen;Eurovan;1995;Violet;1N6AA0CJ4DN142329;WRC-966;dízel;5;bal;true
Dodge;Ram 3500;2001;Red;2G4WC582971687073;ACQ-550;elektromos;3;bal;true
Lincoln;Continental Mark VII;1989;Yellow;3D4PG4FB9BT491509;MGZ-666;elektromos;5;jobb;false
Chevrolet;G-Series 3500;1997;Pink;WAUGL78E67A652525;JPB-216;dízel;3;bal;true
Lincoln;Town Car;2006;Violet;1G4GD5G3XFF178340;FIP-347;elektromos;5;jobb;true
Ford;Ranger;1990;Fuscia;WBANF33577B704799;MNK-538;dízel;3;jobb;true
Jaguar;XF;2010;Red;JTHFE2C28D2068950;CAO-310;benzin;3;jobb;false
Chevrolet;Corvette;1986;Puce;WAUNF98P98A428047;QDA-567;benzin;3;bal;true
Chevrolet;Malibu;1998;Violet;2T1KE4EE1AC117065;DDO-832;dízel;5;jobb;true
Acura;MDX;2012;Indigo;1VWAH7A3XDC236199;CQD-136;elektromos;3;jobb;true
Cadillac;Eldorado;2001;Blue;JM1GJ1T53E1860596;QEU-914;elektromos;3;jobb;false
Ford;F350;1992;Maroon;1N6AD0CWXEN276430;ETO-363;elektromos;3;jobb;true
Cadillac;Catera;2001;Puce;1N6BF0KX7FN368928;ICK-535;dízel;3;jobb;true
Ford;Tempo;1987;Blue;3N1CN7AP1EL300520;QDP-105;benzin;3;bal;true
Buick;Reatta;1990;Blue;2G4GU5GC0B9949620;QFG-137;dízel;3;jobb;true
Mazda;RX-7;1995;Goldenrod;WVWAB7AJ3DW910324;TNY-244;benzin;5;jobb;true
Mazda;Miata MX-5;1999;Fuscia;3G5DA03E12S267558;KHB-122;benzin;3;jobb;false
Subaru;Impreza;1997;Maroon;2HNYD28428H319802;CWF-134;elektromos;3;bal;true
Volvo;850;1997;Aquamarine;3GYFNAEY1AS189228;EBW-279;benzin;5;bal;true
Dodge;Dakota Club;2002;Indigo;YV4902BZ9D1914811;YQW-505;dízel;3;jobb;true
Cadillac;Sixty Special;1993;Puce;WP1AE2A26CL124015;BCZ-380;elektromos;5;bal;true
GMC;Sonoma Club Coupe;1997;Blue;1GYFK468X8R280133;IDE-404;benzin;3;jobb;true
Chevrolet;Impala;1994;Green;1G6DM5EY9B0255513;DMR-459;elektromos;3;jobb;true
Ford;E350;2007;Fuscia;1G4HJ5EM3AU237838;JLZ-830;benzin;5;bal;true
Volkswagen;Touareg;2004;Pink;WAU3GAFR6EA634187;LEZ-803;dízel;5;jobb;false
Chevrolet;2500;1999;Fuscia;1G4GA5EC1AF879918;QVD-259;dízel;3;jobb;true
Porsche;Cayenne;2008;Yellow;2HNYD18906H341185;SLM-902;elektromos;3;jobb;false
Mitsubishi;Mirage;1990;Khaki;WAUKFAFL1DA460599;ZIQ-560;benzin;3;bal;false
Volkswagen;Golf III;1993;Yellow;WAUVF98K89A701579;OVO-374;benzin;3;bal;false
Mitsubishi;Cordia;1987;Pink;WVGFG9BP0BD869144;ORU-354;dízel;3;bal;false
Mercedes-Benz;E-Class;2007;Red;WA1WGBFP9EA700570;WSO-251;elektromos;5;bal;false
GMC;Sierra 1500;2004;Violet;WBAXG5C54CC696666;TPN-875;benzin;5;bal;true
Dodge;Grand Caravan;2007;Yellow;3N1AB6AP7CL258345;VIK-981;dízel;3;jobb;true
Lexus;IS-F;2010;Fuscia;1GYUCDEFXAR880399;BOR-855;elektromos;3;bal;false
Audi;riolet;1996;Blue;1C4AJWAG1FL992978;JAD-173;elektromos;3;jobb;false
Subaru;Justy;1994;Orange;JH4CU4F48BC121538;NMW-767;benzin;5;jobb;true
Lotus;Esprit Turbo;1984;Indigo;WAUHFBFLXCN957013;YKS-961;dízel;5;jobb;false
Ford;Edge;2011;Red;W04G15GV5B1481199;JXZ-610;elektromos;5;bal;false
Mazda;Miata MX-5;1995;Fuscia;1GYS4SKJ6FR265941;AHQ-634;benzin;3;bal;true
Toyota;Solara;2002;Orange;WAUUFAFH4AN591552;RSU-178;dízel;3;bal;false
Chevrolet;Monte Carlo;1973;Maroon;1FAHP3ENXAW551688;QAM-300;dízel;5;jobb;false
Mazda;MX-5;2009;Violet;WAUPN94E09N351417;PFV-496;elektromos;5;bal;true
Ford;Fairlane;1967;Violet;1GYS4SKJ5FR630481;ILO-161;benzin;5;bal;true
Maserati;Quattroporte;1984;Maroon;5UXZV4C50CL145225;NLG-724;dízel;5;jobb;true
Mercedes-Benz;300SE;1993;Puce;JTDKDTB38E1357434;RPJ-284;elektromos;5;bal;true
Infiniti;IPL G;2012;Indigo;WBAWB33529P749591;IKN-233;elektromos;5;bal;false
Chevrolet;Silverado 3500;2005;Indigo;JH4NA21641T976637;DHD-331;benzin;5;jobb;false
Chevrolet;HHR;2010;Purple;1D7RB1CP5AS246506;CXG-756;dízel;5;jobb;false
Audi;S8;2001;Crimson;2G4GP5EX3F9526436;JQR-410;benzin;3;jobb;true
Ford;E-Series;2011;Mauv;2C4RDGCGXFR007615;SIJ-262;dízel;5;jobb;true
Honda;Element;2004;Goldenrod;3D7JV1EPXBG358664;QFG-369;elektromos;3;jobb;false
BMW;X6;2008;Indigo;WAUSH78E96A131082;TXJ-281;elektromos;3;bal;true
Volkswagen;Jetta;1988;Blue;1N6AF0LY7FN933195;KZW-311;benzin;3;bal;false
Pontiac;Sunbird;1994;Maroon;WAUBH54B61N610111;AIY-451;elektromos;3;jobb;false
Chevrolet;Express 3500;2001;Aquamarine;1FTSW2B51AE018407;JSK-551;elektromos;5;jobb;false
Chevrolet;2500;1996;Purple;WBA3B3G56FN592782;QOD-669;elektromos;3;jobb;false
Buick;Century;2004;Crimson;WAULC58E23A336875;LMP-267;dízel;5;bal;true
BMW;7 Series;1994;Goldenrod;WAUCFAFR9EA216306;MPO-404;elektromos;3;jobb;true
Volkswagen;New Beetle;2001;Maroon;WBAFU9C58CC883498;VMG-567;elektromos;3;bal;true
Volkswagen;Passat;2006;Mauv;1G6AJ1RX9F0003028;MQT-358;elektromos;3;bal;false
Toyota;Tundra;2005;Pink;WBA3V5C55FP981989;GXW-508;dízel;3;bal;true
Ford;F250;2007;Violet;3C3CFFCR5FT192315;OID-495;benzin;5;jobb;true
Lincoln;Town Car;2008;Aquamarine;2D4RN5DG6BR711923;MUZ-646;dízel;5;jobb;false
Subaru;Tribeca;2012;Crimson;1C6RD6MTXCS490384;SSS-230;elektromos;3;jobb;true
Toyota;Camry;1995;Red;WUAAU34219N272940;DQV-371;benzin;5;bal;false
Mercedes-Benz;CLS-Class;2006;Blue;1G6DN57U870998064;ITZ-999;dízel;5;jobb;false
Pontiac;Firebird Trans Am;1986;Aquamarine;2G4GU5GV0D9900597;QYP-726;benzin;3;bal;true
Toyota;Sequoia;2011;Mauv;WBAYE0C53DD577953;DGQ-554;dízel;3;bal;true
Mitsubishi;Lancer;2010;Mauv;WBAWC33587P286009;GRS-453;elektromos;3;jobb;false
Porsche;Cayman;2012;Red;WVGFG9BP2CD772447;IMC-643;elektromos;5;jobb;true
Mercedes-Benz;S-Class;2003;Khaki;5UXFH0C59AL524448;BMS-447;benzin;3;jobb;true
Cadillac;Seville;2001;Goldenrod;WA1CV94L87D026169;RLW-719;elektromos;3;jobb;false
Chrysler;300;2011;Khaki;WAUNF68P16A989080;FTY-333;benzin;3;bal;true
Eagle;Summit;1996;Goldenrod;1FTEX1CMXBF284823;KFG-094;benzin;5;bal;true
Lexus;GS;1995;Fuscia;SAJWA1CB8CL869251;WPA-969;benzin;5;bal;false
Dodge;Grand Caravan;1994;Maroon;KMHFH4JG9FA815866;YNI-874;dízel;5;jobb;true
Bentley;Arnage;2006;Aquamarine;WBAPK5C5XBA052999;ZGL-312;elektromos;5;bal;false
Volvo;S40;2009;Red;1G6YV36A995391884;WIM-357;dízel;5;bal;false
Land Rover;Defender;1997;Maroon;JN8AE2KP4F9056852;STF-272;elektromos;3;bal;true
Chrysler;LeBaron;1993;Blue;WBAAN37421N575265;FAA-896;dízel;3;bal;false
Audi;A4;2006;Teal;WA1WMBFE5AD217853;ZKF-376;benzin;3;bal;true
Infiniti;FX;2007;Goldenrod;2G4WF551741957934;BBN-520;elektromos;5;jobb;true
Dodge;Ram Van B350;1994;Khaki;SCBDC47L67C525236;YZK-987;elektromos;3;jobb;true
Lexus;LX;1999;Goldenrod;WAUVT64B84N554341;ZSH-837;dízel;5;jobb;true
Buick;Century;2003;Turquoise;2C3CCAKG9EH825143;HGU-335;benzin;3;jobb;false
Aston Martin;DB9;2007;Fuscia;2FMDK3GC9AB601798;UUG-418;benzin;5;jobb;false
Chrysler;Town & Country;2007;Maroon;3VWF17AT5FM110814;ZBB-582;elektromos;3;jobb;false
Toyota;RAV4;1998;Maroon;WBAKF9C55CE408646;YXD-692;dízel;5;jobb;false
Chevrolet;Silverado 2500;2003;Blue;WA1CGAFEXED877655;DMC-896;dízel;5;jobb;false
Mercedes-Benz;C-Class;1998;Orange;1GD21ZCG8DZ046000;YVV-534;benzin;3;jobb;true
Toyota;Matrix;2006;Turquoise;3GYFNFEY7BS729650;SYZ-315;dízel;5;jobb;true
GMC;Suburban 2500;1998;Indigo;VNKKTUD32FA894069;SXP-157;elektromos;3;jobb;false
Dodge;Ram 2500;1994;Indigo;1C4RDHDG9DC134382;WKK-948;benzin;5;jobb;false
Porsche;Cayman;2012;Violet;1GYS4JKJ0FR936630;GNB-627;benzin;3;bal;false
Honda;Civic Si;2003;Khaki;2GKALMEK1D6151301;HQA-148;benzin;5;bal;true
Mitsubishi;Galant;1990;Crimson;2V4RW3D16AR468192;VCR-645;elektromos;5;bal;false
Cadillac;DeVille;2003;Puce;JA4AS2AW9DU123866;SUL-686;elektromos;3;bal;false
Mercedes-Benz;400E;1992;Mauv;3VW4A7AT7CM822986;NAY-723;elektromos;5;jobb;true
Mercury;Sable;1995;Fuscia;1G6KS54Y34U099950;EEH-509;benzin;5;bal;false
Chevrolet;Astro;1993;Mauv;1G6AX5SX1E0299421;KHK-799;dízel;3;bal;true
Pontiac;Grand Prix Turbo;1990;Pink;1FTSW3B59AE239758;XYF-784;dízel;3;bal;true
Chevrolet;Cruze;2013;Green;1GTN1UEH2FZ070337;WJU-498;benzin;5;bal;true
Mercedes-Benz;500SL;1992;Crimson;WBA3B3G5XEN380319;DCP-410;dízel;5;bal;true
Nissan;GT-R;2011;Blue;4T1BF1FK9FU444674;IWH-899;benzin;3;bal;true
Chevrolet;Monte Carlo;1996;Mauv;1G6AF5S38D0097125;KOO-752;benzin;5;jobb;false
Maybach;62;2011;Pink;1C6RD6GP5CS986689;LUG-121;benzin;3;jobb;false
Toyota;Highlander;2005;Red;19UUA9E59CA663381;QTV-786;elektromos;3;bal;true
Pontiac;Firebird;1992;Maroon;KNADH4A39A6275078;MFE-612;dízel;3;bal;true
Nissan;Armada;2012;Fuscia;WBAUT93539A672546;VGG-494;dízel;3;bal;true
Audi;A6;2004;Violet;1D7RE3BK6AS756548;GYW-844;dízel;3;bal;true
Mercury;Sable;1996;Purple;WVWAA7AJ9CW657494;FEU-547;dízel;3;bal;true
Mitsubishi;3000GT;1998;Fuscia;WAUDK78T28A722494;YNT-835;elektromos;5;bal;false
Jeep;Liberty;2012;Crimson;1FMHK7B8XCG196672;ZGX-820;elektromos;3;jobb;false
Buick;Roadmaster;1991;Purple;1N6AA0EC6EN594184;KSY-223;dízel;5;bal;true
Buick;Park Avenue;1997;Teal;3C3CFFHH0DT387235;LMJ-396;benzin;5;bal;true
Mitsubishi;Eclipse;2011;Goldenrod;JTDBT4K35B1897652;EFG-720;benzin;5;jobb;true
Chevrolet;Suburban 2500;1996;Khaki;JN1CV6EK7CM198507;OOT-658;elektromos;3;jobb;false
Porsche;Cayman;2009;Fuscia;4T1BD1EB4FU959492;XUT-788;dízel;3;bal;true
Porsche;928;1990;Purple;JTHDL5EF3F5520660;IXO-525;dízel;5;bal;true
Chevrolet;Suburban 2500;1999;Pink;WBA3B9C50FJ305145;TPO-070;benzin;5;jobb;false
BMW;Z4;2009;Crimson;WAUEFBFL1AN888258;IIE-983;dízel;3;jobb;true
Mitsubishi;Galant;2008;Khaki;SAJWA0JH3EM698181;UYV-302;dízel;5;bal;true
Subaru;Alcyone SVX;1994;Maroon;1FTEX1E88AK244147;XXT-010;dízel;3;jobb;true
Saturn;VUE;2010;Green;3CZRE3H32BG569501;OKX-878;dízel;3;bal;false
Toyota;Yaris;2008;Indigo;1FTEW1CM5DK152629;RZR-170;elektromos;5;jobb;false
Jaguar;XJ Series;1998;Maroon;WAUEH98E17A916903;JLJ-424;elektromos;3;jobb;false
Mitsubishi;3000GT;1996;Yellow;SCBEC9ZA4EC546936;SAP-373;elektromos;3;bal;false
Mazda;RX-7;1988;Pink;WA19FAFL8DA688529;IDG-810;elektromos;3;bal;false
Aston Martin;V8 Vantage;2012;Mauv;WBANU53519C846046;ILQ-734;benzin;3;bal;false
Bentley;Continental Flying Spur;2008;Pink;1VWAS7A39FC973799;JJQ-450;dízel;5;jobb;false
Ford;Windstar;2000;Purple;JTEBU5JR0B5310223;BCH-880;dízel;3;jobb;true
Toyota;Camry;1994;Aquamarine;WAUEH98E18A998973;YGF-782;elektromos;5;jobb;true
Mitsubishi;Outlander Sport;2011;Crimson;1G6DM1E32C0546109;DAH-439;elektromos;3;jobb;false
Geo;Prizm;1995;Orange;1G6KD54Y52U457010;RFD-771;elektromos;5;bal;true
Mitsubishi;Pajero;2006;Pink;2T2BK1BA9DC774382;TCO-330;benzin;5;bal;true
Jaguar;XK Series;2013;Fuscia;1HGCR2E51DA927593;VXJ-022;elektromos;5;jobb;false
Ford;Club Wagon;1997;Turquoise;1FTNF2B58AE891665;CWX-251;dízel;3;bal;false
Ford;E-Series;2011;Turquoise;1GD01XEG8FZ641554;TRT-046;elektromos;5;bal;true
Mazda;Protege;2003;Pink;WAUYGBFC3CN997608;WJC-492;benzin;5;bal;true
Kia;Amanti;2005;Puce;WP0CB2A89CS117592;KYR-148;elektromos;3;jobb;true
Mercury;Mystique;1998;Red;5J8TB4H30EL508246;JUV-811;elektromos;5;bal;false
Ford;Escape;2004;Crimson;1N6AD0CU5DN461921;QLB-340;dízel;5;bal;true
Mercedes-Benz;E-Class;1986;Blue;1G6YX36D095224494;CQS-303;elektromos;3;jobb;false
Scion;tC;2008;Crimson;1GYS3JEF6CR099260;JOV-609;dízel;3;jobb;true
Subaru;Alcyone SVX;1994;Orange;JTJBC1BA1D2865983;UYZ-781;dízel;5;bal;false
Volkswagen;GTI;2000;Indigo;JN1CV6FE2BM646997;GME-863;benzin;3;bal;true
Ford;E150;2007;Green;KNADM4A33D6391151;OAJ-398;benzin;3;bal;true
Lincoln;Navigator;2009;Maroon;NM0KS6BNXAT032840;EPU-356;dízel;3;bal;true
Toyota;Sienna;2010;Purple;WBANW13589C119442;AQS-008;dízel;5;jobb;false
Mercury;Montego;2007;Khaki;WBSKG9C52CE604472;XJA-876;dízel;5;jobb;true
Infiniti;EX;2012;Khaki;WDDGF5EBXAF048453;MUD-280;dízel;5;jobb;true
GMC;Safari;2004;Purple;KNAFU6A26D5381456;JRT-434;elektromos;5;jobb;false
Buick;Riviera;1987;Turquoise;1FBNE3BL0ED453665;GTM-608;benzin;3;bal;true
Chevrolet;TrailBlazer;2007;Indigo;1FMCU0D74AK298155;VXK-348;benzin;3;bal;true
Volkswagen;Type 2;1990;Blue;1GYFK26299R119824;SVW-398;benzin;3;bal;true
Oldsmobile;Achieva;1997;Khaki;WA1DGBFE3DD287838;HXK-771;benzin;5;jobb;true
BMW;X6;2011;Violet;1G6DU6EV8A0339526;FGZ-187;dízel;5;bal;true
Ford;F-Series;1990;Purple;JN1CV6FE0FM534463;NBN-470;benzin;3;jobb;false
Mercedes-Benz;500SL;1993;Violet;WBABD334X5J074781;NJP-016;dízel;3;bal;true
Ford;Escape;2008;Violet;1G6AS5S36F0303511;QNY-541;elektromos;5;bal;true
Mercury;Tracer;1996;Puce;SAJWA0EX0E8743328;OKO-354;benzin;5;bal;false
Mercedes-Benz;CLS-Class;2007;Pink;WA1YD64B25N958891;XMI-674;benzin;5;jobb;false
Dodge;Durango;2009;Turquoise;JN8AE2KP6C9214538;DYZ-350;elektromos;5;bal;true
Dodge;Dakota;2002;Violet;WAUKFBFL5EA107340;SGC-923;elektromos;3;bal;false
Jeep;Grand Cherokee;1994;Aquamarine;JHMZE2H37DS613227;UTI-776;elektromos;3;jobb;false
Volkswagen;GTI;1988;Green;1C3CCBCG6EN476793;ISV-383;elektromos;3;jobb;false
Volkswagen;Jetta III;1995;Blue;3C6JD6EP6CG923818;WET-607;elektromos;3;jobb;true
Ford;LTD;1986;Blue;1FM5K7B84EG092877;UVE-453;dízel;3;bal;false
GMC;Rally Wagon 1500;1992;Green;3GYFK22229G767611;RYV-468;dízel;5;bal;false
Land Rover;Range Rover Sport;2009;Orange;JN1CV6AP5AM503971;KEU-926;elektromos;5;bal;true
Kia;Rondo;2010;Yellow;WAURFAFR4EA382128;ZEC-144;dízel;5;jobb;false
Ford;GT500;2008;Goldenrod;1GYFC16229R502110;NCR-355;dízel;5;jobb;true
Aston Martin;DBS;2012;Pink;JA32U2FU1DU819759;KPF-622;dízel;5;jobb;true
Jaguar;X-Type;2004;Yellow;WBAUC73589V655559;LGO-695;elektromos;5;bal;false
Dodge;Dakota;2002;Purple;WAUFFAFL1BA245349;DYY-407;dízel;3;bal;true
Ford;Mustang;2006;Purple;WVWAP7AN7DE349524;ZIQ-041;elektromos;5;jobb;false
MINI;Cooper Clubman;2012;Mauv;1VWAH7A30DC439215;SKT-060;dízel;3;bal;true
Dodge;Grand Caravan;2011;Goldenrod;JM1CW2BL5F0953200;JAO-008;benzin;5;bal;true
Plymouth;Grand Voyager;1993;Crimson;WAUKFBFL2CN391726;KNN-542;dízel;3;bal;true
Cadillac;CTS;2010;Blue;2C3CCAGG8EH899856;IJR-933;benzin;3;bal;true
Volkswagen;Touareg;2011;Turquoise;KNDJN2A26E7244249;EUV-870;benzin;5;bal;false
Ford;Econoline E250;1996;Turquoise;WBSDX9C55DJ370703;CDI-355;elektromos;5;jobb;true
GMC;Sierra;2012;Teal;3D73Y4EL7BG761645;SOY-775;dízel;5;jobb;true
Saturn;S-Series;2001;Indigo;WBANN73596C972269;CJN-467;elektromos;5;bal;false
Bentley;Continental GT;2010;Fuscia;WAUFFBFLXBN676223;HVZ-377;benzin;5;jobb;false
Suzuki;Grand Vitara;2002;Fuscia;1G6DS1E32C0208621;PCV-095;elektromos;3;bal;false
Dodge;Dakota Club;2004;Goldenrod;WBAYM1C52DD011470;SRI-715;benzin;3;bal;false
Jeep;Patriot;2008;Mauv;WBANN73576C370907;EIM-612;benzin;3;bal;true
Mercury;Marquis;1985;Violet;3C3CFFJH4ET887068;ZTO-818;dízel;3;bal;true
Chevrolet;Malibu;2006;Green;1GD21XEG4FZ174576;JMU-807;dízel;3;jobb;false
Ford;Mustang;2007;Green;WAUWFBFL2AA358974;OCB-775;elektromos;3;bal;false
Mercedes-Benz;G-Class;2009;Khaki;2C3CDXDT8DH100819;XCV-346;benzin;3;jobb;true
Ford;Fusion;2009;Indigo;3VW517AT3EM316627;JRN-544;elektromos;3;jobb;true
Suzuki;Esteem;2002;Blue;JN1AZ4EH9EM255247;KFD-028;benzin;3;bal;true
GMC;3500 Club Coupe;1993;Violet;WBAPT73508C855231;RXJ-021;dízel;3;jobb;true
Porsche;Boxster;2007;Green;JM1DE1KY7E0138475;WJP-997;elektromos;3;jobb;true
Mercedes-Benz;SL-Class;2005;Turquoise;WA1CFBFP3CA900329;DTA-428;dízel;3;jobb;false
Hyundai;Sonata;2003;Blue;WBALW3C56DC459619;HOC-302;dízel;3;jobb;false
Nissan;Maxima;1996;Blue;2LMHJ5AT5CB550643;ZZN-318;elektromos;5;jobb;false
Jeep;Grand Cherokee;1994;Blue;WBABW33444P712545;LXK-028;elektromos;5;bal;true
Rolls-Royce;Phantom;2009;Red;1G6DA8EG3A0354828;GIC-213;elektromos;5;jobb;false
Buick;Riviera;1990;Green;2G4GT5GV6D9297853;JXW-636;elektromos;5;bal;true
Nissan;240SX;1997;Turquoise;WBAFR1C58BD014671;MRO-788;dízel;3;bal;false
Audi;90;1993;Orange;WDCYC3HF5CX912696;LLS-208;dízel;5;jobb;true
GMC;Savana 1500;2007;Pink;3D7TT2CT5BG408892;JZI-400;benzin;5;jobb;true
